"DeletedDateTime","Description","DisplayName","Id","Members","RoleTemplateId","ScopedMembers","AdditionalProperties"
,"Manage access using Microsoft Entra ID for identity governance scenarios.","Identity Governance Administrator","7d1d5783-2ecc-4462-92cc-50be8a12ecb0",,"45d8d3c5-c802-45c6-b32a-1d70b5e1e86e",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage the editorial content such as bookmarks, Q and As, locations, floorplan.","Search Editor","88722ff4-5faa-4d02-a86e-2a40fd00f9b1",,"8835291a-918c-4fd7-a9ce-faa49f0cf7d9",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read security information and reports in Microsoft Entra ID and Office 365.","Security Reader","8b8df79b-a357-48ee-953c-b83b637e282b",,"5d6b6bb7-de71-4623-b4af-96380a352509",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of SharePoint Embedded containers.","SharePoint Embedded Administrator","8c31a4a7-bb5d-4c78-b89a-7b2cfa0a2618",,"1a7d78b6-429f-476b-b8eb-35fb715fffd4",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Access the analytical capabilities in Microsoft Viva Insights and run custom queries.","Insights Analyst","8e27114d-01a0-4fa4-b05a-e3a74e9571b6",,"25df335f-86eb-4119-b717-0ff02de207e9",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of users and groups, including resetting passwords for limited admins.","User Administrator","8f931210-deb2-493f-9298-927029cdb57a",,"fe930be7-5e62-47db-91af-98c3a49a38b1",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage and configure all aspects of Microsoft Viva Goals.","Viva Goals Administrator","94da1d3e-a0d6-4899-ba4a-1712a07add9d",,"92b086b3-e367-4ef2-b869-1de128fb986e",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage voice and telephony features and troubleshoot communication issues within the Microsoft Teams service.","Teams Telephony Administrator","95bcb00a-abd6-4e34-a16c-e37fe834fe76",,"aa38014f-0993-46e9-9b45-30501a20909d",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Create and read warranty claims for Microsoft manufactured hardware, like Surface and HoloLens.","Microsoft Hardware Warranty Specialist","95d252ac-b8de-47cb-b2c9-44dbae13daf7",,"281fe777-fb20-4fbb-b7a3-ccebce5b0d96",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Exchange product.","Exchange Administrator","978f4e64-d2f0-493c-a11d-3b79cce739da",,"29232cdf-9323-42fd-ade2-1d097af3e4de",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage the authentication methods policy, tenant-wide MFA settings, password protection policy, and verifiable credentials.","Authentication Policy Administrator","997c189e-ce92-4efb-9a0a-8f0cceca91f8",,"0526716b-113d-4c15-b2c8-68e3c22b9f80",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of Microsoft Edge.","Edge Administrator","9f3e458a-0d71-4186-9da7-099ce0e16f23",,"3f1acade-1e04-4fbc-9b69-f0302cd84aef",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage role assignments in Microsoft Entra ID, and all aspects of Privileged Identity Management.","Privileged Role Administrator","a5649429-7694-4f9a-91bb-dff04d078a89",,"e8611ab8-c189-46e8-94e1-60213ab1f814",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create application registrations independent of the 'Users can register applications' setting.","Application Developer","a569b56a-3390-4024-8f7d-039d11bfe46f",,"cf1c38e5-3621-4004-a7cb-879624dced7c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can reset passwords for non-administrators and Password Administrators.","Password Administrator","a8a758d7-5d49-43b3-84c1-82d19c9dbf9d",,"966707d0-3269-4727-9be2-8c3a10f19b9d",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of external user profiles in the extended directory for Teams.","Extended Directory User Administrator","a9fef3cf-50a8-4ac3-b6e9-51ce0984c9ce",,"dd13091a-6207-4fc0-82ba-3641e056ab95",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage Active Directory to Microsoft Entra cloud provisioning, Microsoft Entra Connect, and federation settings.","Hybrid Identity Administrator","ab49d6ac-9032-446b-8904-536af1d26c00",,"8ac3fc64-6eca-42ea-9e69-59f4c7b60eb2",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Create and manage all aspects of workflows and tasks associated with Lifecycle Workflows in Microsoft Entra ID.","Lifecycle Workflows Administrator","ac2c22de-eaf1-4463-a2a7-0f8aa6582aae",,"59d46f88-662b-457b-bceb-5c3809e5908f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of user flows.","External ID User Flow Administrator","ace62575-1c3b-4b3a-b0c8-2df23a974355",,"6e591065-9bad-43ed-90f3-e9424366d2f0",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Allowed to view, set and reset authentication method information for any user (admin or non-admin).","Privileged Authentication Administrator","ae84371b-a424-4e42-a48c-40f702c72438",,"7be44c8a-adaf-4e2a-84d6-ab2649e08a13",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage the attribute schema available to all user flows.","External ID User Flow Attribute Administrator","b30eb4a3-ceea-45b5-8268-8b3770d127e4",,"0f971eea-41eb-4569-a71e-57bb8a3eff1e",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Has access to topic management dashboard and can manage content.","Knowledge Manager","b3bc651f-a038-4502-b9ca-314e0ff84778",,"744ec460-397e-42ad-a462-8b3f9747a02c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can view and share dashboards and insights via the M365 Insights app.","Insights Business Leader","b415847b-7c3d-441f-99e6-393af65dfdac",,"31e939ad-9672-4796-9c2e-873181342d2d",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of Microsoft 365 Copilot and AI-related enterprise services in Microsoft 365.","AI Administrator","b75a61ee-a7bd-42a4-bd32-fddc41063c34",,"d2562ede-74db-457e-a7b6-544e236ebb61",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of Microsoft Search settings.","Search Administrator","bcbbb48d-d03f-4bc0-949c-5503d29eae54",,"0964bb5e-9bdb-4d7b-ac29-58e794862a40",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of app registrations and enterprise apps except App Proxy.","Cloud Application Administrator","bf2ab36b-a2cd-4e09-b06d-ba77271968a2",,"158c047a-c907-4556-b7ef-446551a6b5f7",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Create and manage all aspects warranty claims and entitlements for Microsoft manufactured hardware, like Surface and HoloLens.","Microsoft Hardware Warranty Administrator","bf8d1ebc-fd17-4df4-9bc9-ea46a29a7808",,"1501b917-7653-4ff9-a4b5-203eaf33784f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manages all aspects of Microsoft Fabric.","Fabric Administrator","c227c074-9177-4aa4-a93e-3ddc8d287c18",,"a9ea8996-122f-4c74-9520-8edcd192826c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Allowed to view, set and reset authentication method information for any non-admin user.","Authentication Administrator","c6418c0e-fe4d-4ff2-9185-939b1d55daf6",,"c4e39bd9-1100-46d3-8c65-fb160da0071f",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Read the definition of custom security attributes.","Attribute Definition Reader","c97aed78-ec28-4bb4-a0dc-a064f83ba5e5",,"1d336d2c-4ae8-42ef-9711-b3604ce3fc2c",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Back up and restore content across supported services (SharePoint, OneDrive, and Exchange Online) in Microsoft 365 Backup.","Microsoft 365 Backup Administrator","ca69da39-70d2-4946-9cc1-a288a7caef40",,"1707125e-0aa2-4d4d-8655-a7c786c76a25",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can create and manage all aspects of Windows Update deployments through the Windows Update for Business deployment service.","Windows Update Deployment Administrator","ce2587cd-fde1-4151-98a9-c8d18381c7a9",,"32696413-001a-46ae-978c-ce0f6b3620d2",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can troubleshoot communications issues within Teams using advanced tools.","Teams Communications Support Engineer","cef839e7-0165-49ec-8046-fc03b1cd13c2",,"f70938a0-fc10-4177-9e90-2178f8765737",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of organizational branding in a tenant.","Organizational Branding Administrator","d45e0de1-2b36-4138-98c4-ba3c2e281ae6",,"92ed04bf-c94a-4b82-9729-b799a7a4c178",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage domain names in cloud and on-premises.","Domain Name Administrator","d4c316a1-5289-46d8-a5c0-8169b6f3fa1b",,"8329153b-31d0-4727-b945-745eb3bc5f31",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Dynamics 365 product.","Dynamics 365 Administrator","d6af4fb4-332d-490e-a4e1-89d90d8b0a38",,"44367163-eba1-44c3-98af-f5787879f96a",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage Conditional Access capabilities.","Conditional Access Administrator","dacd2a55-d936-4375-9a33-886d522bf6dc",,"b1be1c3e-b65d-4f19-8427-f6fa0d97feb9",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Cloud App Security product.","Cloud App Security Administrator","dbb0da1b-a7c1-46b9-aef5-ae78283d65e4",,"892c5842-a9a6-463a-8041-72aa08ca3cf6",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read everything that a Global Administrator can, but not update anything.","Global Reader","e3429ee6-67e3-4d15-a620-70a13720db85",,"f2ef992c-3afb-46b9-b7cf-a126ee74c451",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage product licenses on users and groups.","License Administrator","e45c63a7-db40-4e1d-84e1-9e6e7ae897ef",,"4d6ac14f-3453-41d0-bef9-a3e0c569773a",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Manage all aspects of Yammer.","Yammer Administrator","e49e649c-f073-4e0f-a2f2-0a9d1327392d",,"810a2642-a034-447f-a5e8-41beaa378541",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Assign custom security attribute keys and values to supported Microsoft Entra objects.","Attribute Assignment Administrator","e617a7e8-a31c-4ae7-a957-025bd5dabed7",,"58a13ea3-c632-46ae-9ee0-9c0d43cd7f3d",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can perform common billing related tasks like updating payment information.","Billing Administrator","e84e4eff-8c9d-4f60-a39a-f3e29066771b",,"b0f54661-2d74-4c50-afa3-1ec803f12efe",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage settings for Microsoft Kaizala.","Kaizala Administrator","f1047ced-f586-4c25-bb3b-0c32643da867",,"74ef975b-6605-40af-a5d2-b9539d836353",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can manage all aspects of the Skype for Business product.","Skype for Business Administrator","f1334cf3-e9d3-408f-a57a-9ea5baa52982",,"75941009-915a-4869-abe7-691bff18279e",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Create new Microsoft Entra or Azure AD B2C tenants.","Tenant Creator","f4b42359-e764-4e8b-97d9-a05a4c984cca",,"112ca1a2-15ad-4102-995e-45b0bc479a6a",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read service health information and manage support tickets.","Service Support Administrator","f590c87c-45da-43c7-a9b5-6fbe2c55050e",,"f023fd81-a637-4b56-95fd-791ac0226033",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can invite guest users independent of the 'members can invite guests' setting.","Guest Inviter","f7342191-66e0-4364-83f3-48fdb7533ace",,"95e79109-95c0-4d8e-aee3-d01accf2d47b",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Limited access to manage devices in Microsoft Entra ID.","Cloud Device Administrator","fc8c5abc-a71f-4b0f-9512-6978fa210e5e",,"7698a772-787b-4ac8-901f-60d6b08affd2",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,"Can read security messages and updates in Office 365 Message Center only.","Message Center Privacy Reader","ffcc3e61-238c-447d-ab65-a6a15bbe92da",,"ac16e43d-7b2d-40e0-ac05-243ff356ab5b",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
